model,prompt_strategy,precision,recall,completeness,hallucination_rate,cbs,structural_fidelity,avg_semantic,schema_pass_rate,run_count
meta-llama/llama-3.1-8b-instruct,cot_hidden,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.5,2
meta-llama/llama-3.1-8b-instruct,few_shot,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.5,2
meta-llama/llama-3.1-8b-instruct,naive,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
meta-llama/llama-3.1-8b-instruct,structured,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
openai/gpt-4.1-mini,cot_hidden,0.1764,0.2728,0.5091,0.5353,0.3059,0.3333,0.0738,1.0,2
openai/gpt-4.1-mini,few_shot,0.0454,0.0909,0.4591,0.7121,0.1534,0.0,0.0606,1.0,2
openai/gpt-4.1-mini,naive,0.0588,0.0909,0.3636,0.7647,0.1374,1.0,0.0,1.0,2
openai/gpt-4.1-mini,structured,0.1,0.1364,0.5091,0.5572,0.224,0.6667,0.0857,1.0,2
qwen/qwen-2.5-72b-instruct,cot_hidden,0.0,0.0,0.4136,0.631,0.1152,0.0,0.08,1.0,2
qwen/qwen-2.5-72b-instruct,few_shot,0.0,0.0,0.3728,0.755,0.0862,0.0,0.1642,1.0,2
qwen/qwen-2.5-72b-instruct,naive,0.0,0.0,0.5136,0.4423,0.1629,0.0,0.1232,1.0,2
qwen/qwen-2.5-72b-instruct,structured,0.0,0.0,0.3364,0.7261,0.0884,0.0,0.2035,1.0,2
