model,prompt_strategy,task,file,complexity,validation_status,schema_pass_rate,correct,partial,missing,hallucinated,total_ground_truth,total_predicted,precision,recall,completeness,hallucination_rate,cbs,structural_fidelity,avg_semantic
openai/gpt-4.1-mini,naive,structure,VSCBEX01,medium,valid,1,2,6,3,9,11,17,0.1176,0.1818,0.7273,0.5294,0.2749,1.0,
meta-llama/llama-3.1-8b-instruct,naive,structure,VSCBEX01,medium,valid,1,0,0,11,13,11,13,0.0,0.0,0.0,1.0,0.0,0.0,
qwen/qwen-2.5-72b-instruct,naive,structure,VSCBEX01,medium,valid,1,0,8,3,5,11,13,0.0,0.0,0.7273,0.3846,0.1958,0.0,
openai/gpt-4.1-mini,structured,structure,VSCBEX01,medium,valid,1,3,6,2,6,11,15,0.2,0.2727,0.8182,0.4,0.3709,0.6667,
meta-llama/llama-3.1-8b-instruct,structured,structure,VSCBEX01,medium,valid,1,0,0,11,15,11,15,0.0,0.0,0.0,1.0,0.0,0.0,
qwen/qwen-2.5-72b-instruct,structured,structure,VSCBEX01,medium,valid,1,0,3,8,26,11,29,0.0,0.0,0.2727,0.8966,0.048,0.0,
openai/gpt-4.1-mini,few_shot,structure,VSCBEX01,medium,valid,1,2,7,2,13,11,22,0.0909,0.1818,0.8182,0.5909,0.2636,0.0,
meta-llama/llama-3.1-8b-instruct,few_shot,structure,VSCBEX01,medium,error,0,0,0,11,0,11,0,0.0,0.0,0.0,0.0,0.2,0.0,
qwen/qwen-2.5-72b-instruct,few_shot,structure,VSCBEX01,medium,valid,1,0,6,5,19,11,25,0.0,0.0,0.5455,0.76,0.1025,0.0,
openai/gpt-4.1-mini,cot_hidden,structure,VSCBEX01,medium,valid,1,6,3,2,8,11,17,0.3529,0.5455,0.8182,0.4706,0.5118,0.3333,
meta-llama/llama-3.1-8b-instruct,cot_hidden,structure,VSCBEX01,medium,error,0,0,0,11,0,11,0,0.0,0.0,0.0,0.0,0.2,0.0,
qwen/qwen-2.5-72b-instruct,cot_hidden,structure,VSCBEX01,medium,valid,1,0,8,3,6,11,14,0.0,0.0,0.7273,0.4286,0.187,0.0,
openai/gpt-4.1-mini,naive,business,VSCBEX01,medium,valid,1,0,0,10,6,10,6,0.0,0.0,0.0,1.0,0.0,,0.0
meta-llama/llama-3.1-8b-instruct,naive,business,VSCBEX01,medium,valid,1,0,0,10,7,10,7,0.0,0.0,0.0,1.0,0.0,,0.0
qwen/qwen-2.5-72b-instruct,naive,business,VSCBEX01,medium,valid,1,0,3,7,3,10,6,0.0,0.0,0.3,0.5,0.13,,0.1232
openai/gpt-4.1-mini,structured,business,VSCBEX01,medium,valid,1,0,2,8,5,10,7,0.0,0.0,0.2,0.7143,0.0771,,0.0857
meta-llama/llama-3.1-8b-instruct,structured,business,VSCBEX01,medium,valid,1,0,0,10,5,10,5,0.0,0.0,0.0,1.0,0.0,,0.0
qwen/qwen-2.5-72b-instruct,structured,business,VSCBEX01,medium,valid,1,0,4,6,5,10,9,0.0,0.0,0.4,0.5556,0.1289,,0.2035
openai/gpt-4.1-mini,few_shot,business,VSCBEX01,medium,valid,1,0,1,9,5,10,6,0.0,0.0,0.1,0.8333,0.0433,,0.0606
meta-llama/llama-3.1-8b-instruct,few_shot,business,VSCBEX01,medium,valid,1,0,0,10,3,10,3,0.0,0.0,0.0,1.0,0.0,,0.0
qwen/qwen-2.5-72b-instruct,few_shot,business,VSCBEX01,medium,valid,1,0,2,8,6,10,8,0.0,0.0,0.2,0.75,0.07,,0.1642
openai/gpt-4.1-mini,cot_hidden,business,VSCBEX01,medium,valid,1,0,2,8,3,10,5,0.0,0.0,0.2,0.6,0.1,,0.0738
meta-llama/llama-3.1-8b-instruct,cot_hidden,business,VSCBEX01,medium,valid,1,0,0,10,4,10,4,0.0,0.0,0.0,1.0,0.0,,0.0
qwen/qwen-2.5-72b-instruct,cot_hidden,business,VSCBEX01,medium,valid,1,0,1,9,5,10,6,0.0,0.0,0.1,0.8333,0.0433,,0.08
